Codering_3,SoortRegio_2,Gemeentenaam_1,AantalInwoners_5,Mannen_6,Vrouwen_7,k_0Tot15Jaar_8,k_15Tot25Jaar_9,k_25Tot45Jaar_10,k_45Tot65Jaar_11,k_65JaarOfOuder_12,Nederland_17,EuropaExclusiefNederland_18,BuitenEuropa_19,HuishoudensTotaal_29,Eenpersoonshuishoudens_30,HuishoudensZonderKinderen_31,HuishoudensMetKinderen_32,GemiddeldeHuishoudensgrootte_33,Bevolkingsdichtheid_34,LeerlingenPo_62,LeerlingenVoInclVavo_63,StudentenMboExclExtranei_64,StudentenHbo_65,StudentenWo_66,BasisonderwijsVmboMbo1_67,HavoVwoMbo24_68,HboWo_69,WerkzameBeroepsbevolking_70,GemGestandaardiseerdInkomen_83,k_40HuishoudensMetLaagsteInkomen_84,k_20HuishoudensMetHoogsteInkomen_85,ALandbouwBosbouwEnVisserij_96,BFNijverheidEnEnergie_97,GIHandelEnHoreca_98,HJVervoerInformatieEnCommunicatie_99,KLFinancieleDienstenOnroerendGoed_100,MNZakelijkeDienstverlening_101,OQOverheidOnderwijsEnZorg_102,RUCultuurRecreatieOverigeDiensten_103,PersonenautoSPerHuishouden_107,MateVanStedelijkheid_120
BU16800300,Buurt     ,Aa en Hunze                             ,375,190,185,25,20,50,140,140,335,20,15,180,45,85,45,2.1,696,10,10,10,0,0,,,,200,,16.7,33.9,5,15,5,0,5,15,20,5,1.5,5
BU16800309,Buurt     ,Aa en Hunze                             ,10,5,5,5,0,0,5,0,5,0,0,5,5,0,0,2.5,1,0,0,0,0,0,,,,0,,,,,,,,,,,,,5
WK168004  ,Wijk      ,Aa en Hunze                             ,260,135,120,20,25,40,105,65,240,10,10,110,20,50,35,2.3,23,10,10,10,0,0,50,60,90,150,,19.8,36.8,10,5,10,0,0,15,10,5,1.7,5
BU16800400,Buurt     ,Aa en Hunze                             ,225,125,100,15,25,35,90,65,215,5,5,95,20,50,25,2.3,529,10,10,10,0,0,,,,130,,,,10,5,10,0,0,10,10,5,1.8,5
BU16800409,Buurt     ,Aa en Hunze                             ,30,10,20,5,5,5,15,5,25,5,0,15,0,0,5,2.8,3,0,0,0,0,0,,,,20,,,,,,,,,,,,,5
WK168005  ,Wijk      ,Aa en Hunze                             ,615,290,320,85,40,90,155,240,550,25,40,285,90,120,70,2.2,105,40,30,10,10,10,,120,250,250,,24.6,25.7,5,5,5,5,10,25,25,5,1.4,5
BU16800500,Buurt     ,Aa en Hunze                             ,555,260,290,70,35,80,140,225,505,20,35,260,85,115,65,2.1,578,30,20,10,10,10,,120,230,220,,25.1,25.1,5,5,5,5,10,20,20,0,1.5,5
BU16800509,Buurt     ,Aa en Hunze                             ,60,30,30,15,5,10,15,15,50,5,10,25,10,5,10,2.4,12,10,0,0,0,0,,,,20,,,,,,,,,,,,,5
WK168006  ,Wijk      ,Aa en Hunze                             ,475,240,225,70,55,85,170,90,455,5,15,200,45,80,75,2.4,73,40,30,20,10,10,80,170,120,290,,19.4,28.1,10,10,10,5,0,20,10,10,1.6,5
BU16800600,Buurt     ,Aa en Hunze                             ,450,225,225,65,50,80,165,85,435,5,10,185,45,75,65,2.4,353,30,30,20,10,10,,,,280,,20.2,27.7,10,10,5,5,0,20,10,10,1.6,5
BU16800609,Buurt     ,Aa en Hunze                             ,25,15,5,10,0,5,5,5,20,5,0,5,5,5,5,2.8,4,10,0,0,0,0,,,,10,,,,,,,,,,,,,5
WK168007  ,Wijk      ,Aa en Hunze                             ,145,70,75,15,20,25,50,40,145,0,0,60,10,30,20,2.3,399,10,0,10,10,0,,50,,90,,,,,,,,,,,,1.6,5
BU16800700,Buurt     ,Aa en Hunze                             ,145,70,75,15,20,25,55,40,140,5,0,60,15,30,20,2.3,668,10,0,10,10,0,,50,,90,,,,,,,,,,,,1.6,5
BU16800709,Buurt     ,Aa en Hunze                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,5
WK168008  ,Wijk      ,Aa en Hunze                             ,115,60,50,25,10,25,35,20,110,5,0,45,10,15,15,2.5,31,10,10,0,0,0,,,,60,,,,5,5,0,0,0,0,5,0,,5
BU16800800,Buurt     ,Aa en Hunze                             ,100,55,45,20,5,20,35,25,100,0,0,40,10,15,20,2.4,223,10,10,0,0,0,,,,50,,,,,,,,,,,,,5
BU16800809,Buurt     ,Aa en Hunze                             ,10,0,5,5,0,0,5,0,10,0,0,5,0,0,0,3.7,3,0,0,0,0,0,,,,10,,,,,,,,,,,,,5
WK168009  ,Wijk      ,Aa en Hunze                             ,115,60,55,15,10,10,45,40,105,5,10,50,10,35,10,2.3,59,10,10,0,0,0,,,,60,,,,,,,,,,,,1.7,5
BU16800900,Buurt     ,Aa en Hunze                             ,115,55,60,15,10,15,45,35,105,5,10,50,10,30,10,2.4,420,10,10,0,0,0,,,,60,,,,,,,,,,,,,5
BU16800909,Buurt     ,Aa en Hunze                             ,5,0,0,0,0,0,0,0,5,0,0,5,0,0,0,2.0,,0,0,0,0,0,,,,0,,,,,,,,,,,,,5
WK168011  ,Wijk      ,Aa en Hunze                             ,405,205,200,50,45,80,160,70,365,15,25,190,60,80,50,2.1,126,30,20,10,10,0,70,160,,240,,36.6,17.8,0,10,5,0,0,10,5,10,1.5,5
BU16801100,Buurt     ,Aa en Hunze                             ,405,205,200,45,45,75,160,70,365,15,25,190,60,80,50,2.1,690,30,20,10,10,0,,,,230,,36.3,17.9,0,10,5,0,0,10,5,10,1.5,5
BU16801109,Buurt     ,Aa en Hunze                             ,5,0,0,0,0,0,0,0,5,0,0,0,0,5,0,2.0,,0,0,0,0,0,,,,0,,,,,,,,,,,,,5
WK168012  ,Wijk      ,Aa en Hunze                             ,230,125,100,30,15,60,70,55,215,10,5,110,35,45,35,2.1,84,10,10,0,0,0,,,,130,,33.3,9.0,0,10,0,0,0,5,5,5,1.6,5
BU16801200,Buurt     ,Aa en Hunze                             ,235,130,105,30,15,55,75,60,210,10,5,110,35,45,30,2.1,382,10,10,0,0,0,,,,120,,32.7,9.1,0,10,0,0,0,5,5,5,1.6,5
BU16801209,Buurt     ,Aa en Hunze                             ,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,1.0,,0,0,0,0,0,,,,0,,,,,,,,,,,,,5
WK168013  ,Wijk      ,Aa en Hunze                             ,120,65,60,10,15,15,55,35,115,0,5,60,15,30,15,2.2,19,0,0,0,0,0,,,,80,,,,10,5,0,0,0,5,5,0,1.7,5
BU16801300,Buurt     ,Aa en Hunze                             ,95,50,40,5,10,15,40,25,85,5,5,45,10,25,10,2.1,127,0,0,0,0,0,,,,60,,,,,,,,,,,,,5
BU16801309,Buurt     ,Aa en Hunze                             ,30,15,15,0,5,0,15,10,30,5,0,15,5,5,0,2.3,5,0,0,0,0,0,,,,20,,,,,,,,,,,,,5
WK168014  ,Wijk      ,Aa en Hunze                             ,1865,925,945,250,140,335,530,615,1700,70,95,880,270,365,245,2.1,97,150,70,40,30,10,320,560,450,890,,33.4,19.1,10,25,45,15,5,50,45,30,1.4,5
BU16801400,Buurt     ,Aa en Hunze                             ,1540,760,775,220,120,285,415,500,1400,55,85,715,210,295,210,2.2,460,130,70,40,20,10,250,460,370,730,,32.5,18.7,5,15,35,15,5,40,35,20,1.4,5
BU16801401,Buurt     ,Aa en Hunze                             ,135,70,65,15,5,15,40,50,125,10,5,60,10,35,15,2.3,250,10,10,0,0,0,20,20,,60,,,,5,0,0,0,0,10,10,0,1.6,5
BU16801409,Buurt     ,Aa en Hunze                             ,195,95,100,15,10,30,75,60,175,10,10,110,50,35,20,1.8,12,10,0,0,0,0,40,80,,90,,49.5,13.3,5,5,10,0,0,5,0,5,1.0,5
WK168015  ,Wijk      ,Aa en Hunze                             ,1860,925,940,265,220,350,595,440,1665,60,140,820,235,320,270,2.3,317,140,110,70,40,10,450,670,320,960,,40.4,14.3,10,30,45,10,0,35,30,25,1.3,5
BU16801500,Buurt     ,Aa en Hunze                             ,1815,895,915,255,210,345,575,430,1615,65,140,800,235,315,260,2.2,921,130,110,70,40,10,450,650,310,930,,41.2,14.1,5,30,40,10,0,30,25,25,1.3,5
BU16801501,Buurt     ,Aa en Hunze                             ,45,25,20,10,5,5,20,10,45,0,0,15,5,5,10,2.8,129,10,0,0,0,0,,,,30,,,,,,,,,,,,,5
BU16801509,Buurt     ,Aa en Hunze                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,
WK168016  ,Wijk      ,Aa en Hunze                             ,670,340,330,95,50,145,210,170,605,30,40,300,80,120,95,2.3,58,50,40,10,10,0,130,280,,350,,33.3,15.2,15,15,15,5,5,15,10,10,1.4,5
BU16801600,Buurt     ,Aa en Hunze                             ,625,315,310,90,50,130,200,155,570,25,35,285,80,115,85,2.2,275,50,40,10,10,0,,,,320,,34.0,14.9,10,10,15,5,5,15,10,10,1.4,5
BU16801601,Buurt     ,Aa en Hunze                             ,40,20,15,10,5,10,10,10,35,0,5,15,0,5,10,2.8,65,0,0,0,0,0,,,,20,,,,,,,,,,,,,5
BU16801609,Buurt     ,Aa en Hunze                             ,5,5,5,5,0,0,0,0,5,0,0,0,0,0,0,3.5,,0,0,0,0,0,,,,10,,,,,,,,,,,,,5
WK168017  ,Wijk      ,Aa en Hunze                             ,4965,2405,2555,685,485,845,1395,1560,4525,145,295,2235,720,835,680,2.2,202,390,260,140,100,40,720,1620,1130,2390,,35.6,20.8,25,65,110,25,30,165,105,70,1.4,5
BU16801700,Buurt     ,Aa en Hunze                             ,4775,2310,2465,650,475,810,1340,1500,4375,135,260,2165,705,800,660,2.2,1174,360,250,140,100,30,710,1570,1060,2300,,36.2,20.5,15,60,105,25,30,155,100,70,1.4,4
BU16801709,Buurt     ,Aa en Hunze                             ,190,95,90,30,10,35,45,55,145,5,30,75,15,40,20,2.2,9,20,10,0,0,0,,,,80,,,,10,5,0,0,0,10,5,5,1.7,5
WK168018  ,Wijk      ,Aa en Hunze                             ,1255,655,600,175,150,275,405,250,1160,35,70,545,160,185,205,2.3,74,100,50,40,30,10,250,470,240,710,,34.2,20.0,30,25,25,5,5,30,15,20,1.5,5
BU16801800,Buurt     ,Aa en Hunze                             ,685,345,340,120,90,155,200,130,635,15,35,295,90,80,120,2.3,1034,60,30,30,10,0,140,240,120,370,,38.0,18.3,5,10,10,5,5,15,10,5,1.4,5
BU16801801,Buurt     ,Aa en Hunze                             ,105,55,50,15,10,25,40,20,95,5,5,40,5,20,15,2.5,168,10,0,0,0,0,,,,60,,,,,,,,,,,,,5
BU16801802,Buurt     ,Aa en Hunze                             ,270,145,125,35,35,55,95,50,245,10,15,110,25,35,45,2.5,257,20,10,10,10,0,,,,160,,25.9,23.1,5,5,5,0,0,5,0,5,1.7,5
BU16801809,Buurt     ,Aa en Hunze                             ,200,110,85,10,20,40,70,55,185,5,10,100,35,45,15,2.0,14,10,10,0,10,0,,80,60,120,,40.0,20.0,15,5,5,0,0,5,5,5,1.3,5
WK168019  ,Wijk      ,Aa en Hunze                             ,4975,2525,2450,605,435,870,1405,1665,4555,135,290,2150,660,885,595,2.1,142,330,220,110,80,30,800,1460,1280,2250,,30.7,22.1,40,55,75,40,35,150,135,70,1.3,5
BU16801900,Buurt     ,Aa en Hunze                             ,3680,1795,1890,455,310,590,950,1390,3360,100,225,1710,580,690,440,2.1,1105,250,160,80,60,20,580,1040,840,1610,,33.6,17.9,10,40,50,25,20,110,90,50,1.2,5
BU16801901,Buurt     ,Aa en Hunze                             ,160,90,70,5,30,25,50,50,150,5,5,60,10,30,20,2.5,326,10,10,10,0,0,,40,50,80,,,,5,0,5,5,5,10,5,5,1.5,5
BU16801902,Buurt     ,Aa en Hunze                             ,60,30,30,10,5,10,20,20,55,0,0,25,5,10,5,2.3,270,10,0,0,0,0,,,,30,,,,,,,,,,,,,5
BU16801903,Buurt     ,Aa en Hunze                             ,80,45,35,10,15,5,35,15,75,0,0,30,5,15,15,2.8,162,10,10,0,10,0,,,,50,,,,5,5,0,0,5,5,5,0,,5
BU16801908,Buurt     ,Aa en Hunze                             ,845,485,355,105,65,215,290,170,770,30,50,265,50,120,95,2.3,92,50,30,10,10,0,120,280,310,380,,19.3,34.8,10,0,5,10,5,15,25,10,1.3,5
BU16801909,Buurt     ,Aa en Hunze                             ,145,75,75,15,15,25,65,30,140,0,10,60,10,25,25,2.5,7,10,10,0,10,0,,60,,100,,,,10,5,10,0,5,10,5,5,1.5,5
WK168020  ,Wijk      ,Aa en Hunze                             ,1415,665,750,245,170,325,400,280,1055,315,50,605,160,200,245,2.3,27,160,90,30,10,10,280,550,280,760,,36.8,23.0,45,30,45,10,5,40,25,20,1.2,5
BU16802000,Buurt     ,Aa en Hunze                             ,640,300,340,105,70,120,195,160,600,15,25,270,65,110,95,2.4,843,60,30,20,10,10,100,200,170,350,,23.9,29.4,5,20,15,5,0,25,15,15,1.5,5
BU16802001,Buurt     ,Aa en Hunze                             ,185,95,90,25,10,35,65,50,170,10,0,85,30,35,20,2.2,255,20,10,10,0,0,,,,100,,,,5,5,10,0,0,10,5,0,1.2,5
BU16802008,Buurt     ,Aa en Hunze                             ,355,145,210,100,55,125,50,20,65,280,15,150,45,10,90,2.3,60,80,50,0,0,0,,,,160,,70.0,6.7,,,,,,,,,0.3,5
BU16802009,Buurt     ,Aa en Hunze                             ,230,125,105,10,35,35,95,50,215,5,10,100,20,45,35,2.3,5,10,10,10,0,0,,110,,150,,,,25,5,15,0,0,5,5,5,1.5,5
WK168021  ,Wijk      ,Aa en Hunze                             ,525,270,255,85,60,90,170,120,500,10,15,190,35,70,90,2.6,27,40,30,20,20,10,100,180,,300,,15.5,36.3,25,15,10,5,0,20,15,15,1.5,5
BU16802100,Buurt     ,Aa en Hunze                             ,265,135,130,40,30,40,80,75,245,10,5,100,20,40,40,2.4,700,20,20,10,10,0,,,,140,,14.4,28.8,0,10,5,0,0,10,10,10,1.3,5
BU16802101,Buurt     ,Aa en Hunze                             ,105,55,50,15,10,25,40,20,100,0,5,35,5,15,20,2.9,220,10,10,0,0,0,,,,70,,,,5,5,0,0,0,5,5,5,,5
BU16802109,Buurt     ,Aa en Hunze                             ,160,85,75,30,25,30,50,30,155,0,5,55,10,10,30,2.9,9,20,10,10,0,0,,,,90,,,,15,0,0,0,0,5,5,0,1.5,5
GM0358    ,Gemeente  ,Aalsmeer                                ,33279,16456,16823,5240,4303,7515,9858,6363,24391,3935,4953,14405,4895,3909,5601,2.3,1656,2670,2250,830,770,390,6640,10380,7630,19260,52.0,33.7,29.1,115,780,1125,495,375,1390,645,500,1.2,4
WK035800  ,Wijk      ,Aalsmeer                                ,13585,6620,6960,1850,1600,3145,3730,3260,10155,1640,1795,6260,2435,1800,2035,2.1,1935,960,680,300,280,140,2730,4220,2770,7530,52.8,37.7,25.2,25,310,520,215,175,595,280,235,1.1,3
BU03580000,Buurt     ,Aalsmeer                                ,2990,1465,1530,365,290,735,770,835,2255,435,305,1435,630,425,380,2.0,5627,180,140,50,50,30,550,880,620,1620,,37.3,26.9,0,60,145,50,55,160,70,55,1.0,3
BU03580001,Buurt     ,Aalsmeer                                ,7020,3375,3645,985,890,1600,1970,1570,5175,790,1055,3170,1160,890,1115,2.2,3815,500,350,180,170,70,1500,2170,1450,3920,45.7,38.1,25.1,5,150,160,95,55,265,130,100,1.1,3
BU03580004,Buurt     ,Aalsmeer                                ,2720,1350,1370,405,315,675,660,660,1985,350,380,1280,515,355,410,2.1,1050,230,150,60,50,30,550,870,490,1450,,40.4,18.6,0,70,185,60,20,110,70,40,1.1,4
BU03580005,Buurt     ,Aalsmeer                                ,855,430,420,95,105,135,325,195,745,60,50,385,135,125,125,2.2,416,50,50,20,20,0,130,320,200,540,,26.4,40.8,15,35,35,15,40,60,10,40,1.7,4
WK035801  ,Wijk      ,Aalsmeer                                ,9255,4670,4590,1620,1120,2190,2635,1695,7140,765,1350,3825,1060,1140,1625,2.4,2129,810,690,260,180,80,1810,2910,2200,5330,54.1,28.1,28.7,25,140,175,85,70,280,140,95,1.2,4
BU03580100,Buurt     ,Aalsmeer                                ,9260,4670,4585,1620,1120,2185,2640,1695,7140,765,1355,3825,1060,1140,1625,2.4,2129,810,690,260,180,80,1810,2910,2200,5330,54.1,28.1,28.7,25,140,175,85,70,280,140,95,1.2,4
WK035802  ,Wijk      ,Aalsmeer                                ,10440,5165,5270,1765,1585,2190,3495,1405,7095,1535,1810,4320,1400,970,1945,2.4,1195,900,870,260,300,170,2120,3260,2620,6400,48.9,33.1,35.2,65,330,430,190,130,515,230,170,1.2,4
BU03580200,Buurt     ,Aalsmeer                                ,975,490,480,115,110,210,330,215,785,105,80,425,125,155,140,2.3,631,60,50,10,20,10,200,360,170,580,,29.3,32.7,15,65,65,25,35,60,25,20,1.5,4
BU03580201,Buurt     ,Aalsmeer                                ,1215,615,600,120,200,360,380,150,615,510,90,750,505,110,135,1.6,580,60,50,20,20,10,240,490,300,880,,66.7,14.6,5,75,95,25,15,80,25,30,0.8,4
BU03580205,Buurt     ,Aalsmeer                                ,7790,3830,3960,1480,1215,1525,2645,925,5350,850,1595,2935,695,635,1605,2.6,2943,760,760,220,260,140,1570,2290,2040,4670,50.5,25.3,40.8,30,165,225,120,70,340,170,105,1.2,3
BU03580206,Buurt     ,Aalsmeer                                ,460,225,235,55,55,100,135,115,345,75,45,210,75,65,65,2.2,188,30,20,10,10,10,,190,100,270,,32.7,33.7,20,25,45,20,10,40,10,15,1.6,5
GM0197    ,Gemeente  ,Aalten                                  ,27308,13780,13528,4030,3127,5580,7925,6646,23789,1988,1531,11740,3639,4053,4048,2.3,283,2140,1450,970,630,110,5570,9960,4770,14860,40.4,35.5,17.5,345,590,550,120,140,555,470,335,1.3,4
WK019701  ,Wijk      ,Aalten                                  ,4045,2060,1980,615,595,690,1295,840,3750,205,85,1535,310,600,625,2.6,60,330,240,180,110,20,720,1540,850,2460,,24.3,29.0,255,130,100,20,35,120,100,60,1.6,5
BU01970101,Buurt     ,Aalten                                  ,110,50,55,10,20,20,45,15,110,0,0,45,10,20,15,2.5,2524,10,0,0,10,0,,,,80,,,,,,,,,,,,,5
BU01970102,Buurt     ,Aalten                                  ,480,255,225,70,80,75,155,100,460,10,10,170,25,65,75,2.8,64,40,30,20,20,0,110,150,100,310,,24.1,39.4,40,15,10,0,5,25,10,5,1.6,5
BU01970103,Buurt     ,Aalten                                  ,340,180,160,50,40,55,120,75,320,10,5,135,35,50,50,2.5,45,30,20,10,10,0,70,150,,220,,21.5,27.4,25,15,20,0,5,10,10,0,1.5,5
BU01970104,Buurt     ,Aalten                                  ,495,250,240,80,70,90,160,90,455,25,10,190,30,75,80,2.6,55,40,30,20,10,0,60,190,120,290,,27.1,31.4,40,15,10,5,5,10,10,10,1.5,5
BU01970105,Buurt     ,Aalten                                  ,160,80,80,25,25,30,45,35,160,0,0,60,10,20,30,2.7,1489,10,10,0,10,0,,,,90,,,,,,,,,,,,1.9,5
BU01970106,Buurt     ,Aalten                                  ,170,85,85,35,10,45,50,35,165,0,5,70,10,35,25,2.4,1675,20,10,0,10,0,,60,40,100,,,,5,5,5,0,0,5,10,0,2.0,5
BU01970107,Buurt     ,Aalten                                  ,250,135,115,25,40,35,95,60,215,25,10,100,20,45,35,2.6,52,10,20,10,0,0,60,100,,160,,,,20,15,5,5,0,5,5,0,1.3,5
BU01970108,Buurt     ,Aalten                                  ,675,340,340,120,95,120,200,145,610,55,15,250,50,95,110,2.7,51,50,40,40,10,0,110,280,,410,,27.4,26.6,65,30,15,0,5,10,20,5,1.4,5
BU01970109,Buurt     ,Aalten                                  ,100,55,45,15,20,20,35,10,95,5,5,35,5,15,15,2.8,15,10,10,10,0,0,,,,70,,,,,,,,,,,,,5
BU01970110,Buurt     ,Aalten                                  ,620,305,315,90,95,100,200,130,565,35,20,240,45,95,95,2.6,82,40,40,30,20,0,90,200,200,380,,22.8,30.0,15,15,15,0,10,35,10,20,1.7,5
BU01970111,Buurt     ,Aalten                                  ,550,280,275,90,80,90,165,125,510,30,5,210,50,75,90,2.6,49,60,30,20,20,10,100,220,,310,,24.0,26.0,40,10,15,5,5,10,10,5,1.3,5
BU01970112,Buurt     ,Aalten                                  ,90,40,50,5,15,20,25,20,85,0,0,40,10,15,15,2.3,1803,0,0,10,0,0,,,,50,,,,,,,,,,,,,5
WK019702  ,Wijk      ,Aalten                                  ,1960,1030,930,275,230,375,625,455,1805,95,60,850,270,290,290,2.3,198,160,90,70,40,10,310,750,420,1130,,33.5,19.4,30,40,50,10,15,55,35,30,1.3,5
BU01970201,Buurt     ,Aalten                                  ,220,120,100,30,30,35,80,50,210,10,0,85,20,30,35,2.5,37,20,10,10,0,0,,,,130,,,,15,5,0,0,5,10,5,5,1.6,5
BU01970202,Buurt     ,Aalten                                  ,190,110,85,15,20,30,70,55,175,10,10,90,30,35,20,2.2,142,10,0,0,10,0,,80,50,120,,,,5,5,5,0,0,10,5,5,1.5,5
BU01970203,Buurt     ,Aalten                                  ,70,35,35,15,10,15,30,15,70,0,5,30,10,10,10,2.5,36,10,10,0,0,0,,,,50,,,,,,,,,,,,,5
BU01970204,Buurt     ,Aalten                                  ,1470,770,705,220,170,295,450,335,1355,70,45,645,215,215,215,2.2,2584,130,70,50,30,0,240,570,280,830,,35.5,16.1,5,30,40,10,5,30,20,25,1.2,5
WK019703  ,Wijk      ,Aalten                                  ,12990,6535,6450,1960,1440,2875,3540,3175,11335,745,905,5665,1885,1860,1920,2.2,2538,1010,700,460,290,50,2660,4650,2250,7030,38.9,36.2,16.0,15,240,230,55,50,240,215,150,1.2,3
BU01970301,Buurt     ,Aalten                                  ,2015,1020,1000,280,225,420,510,575,1715,120,185,905,285,330,290,2.2,3764,160,90,80,50,10,420,750,300,1050,,36.2,11.4,0,20,30,5,0,15,20,15,1.2,4
BU01970302,Buurt     ,Aalten                                  ,2370,1195,1175,385,285,575,650,475,2040,165,170,1025,320,325,385,2.3,1469,200,140,90,40,10,560,860,350,1360,,35.5,15.6,0,100,60,15,10,50,25,30,1.4,4
BU01970303,Buurt     ,Aalten                                  ,1490,775,705,205,200,315,530,240,1340,85,60,585,135,200,250,2.5,2296,100,90,60,50,0,290,640,270,910,,22.5,21.7,5,15,10,10,5,25,20,15,1.4,4
BU01970304,Buurt     ,Aalten                                  ,2765,1355,1405,405,280,580,735,760,2500,130,135,1205,380,445,390,2.2,3113,210,160,90,70,20,500,960,540,1500,,34.1,16.6,0,35,40,10,10,55,50,25,1.2,4
BU01970305,Buurt     ,Aalten                                  ,995,515,480,245,130,245,280,95,880,30,90,345,50,95,195,2.9,2371,130,90,40,30,0,140,330,260,600,,12.3,37.4,0,15,10,5,5,20,15,10,1.4,5
BU01970306,Buurt     ,Aalten                                  ,1015,535,475,170,120,250,255,225,880,50,85,430,125,145,160,2.4,3205,90,40,50,20,0,220,430,150,580,,31.2,13.1,0,10,10,5,0,10,10,5,1.1,3
BU01970307,Buurt     ,Aalten                                  ,2340,1135,1205,260,205,490,580,805,1990,165,185,1175,590,320,265,1.8,3375,130,90,60,40,10,520,660,380,1030,,54.4,11.1,0,45,75,5,15,60,75,45,1.0,3
WK019704  ,Wijk      ,Aalten                                  ,8315,4155,4160,1180,865,1635,2465,2170,6900,935,480,3690,1175,1300,1210,2.2,607,640,420,260,180,30,1880,3020,1250,4250,39.0,39.5,14.7,45,180,170,35,40,145,120,90,1.3,4
BU01970400,Buurt     ,Aalten                                  ,2890,1405,1490,420,270,620,750,835,2255,395,245,1355,540,410,405,2.1,3332,210,140,80,50,10,670,960,370,1320,,51.2,9.4,0,55,75,5,15,40,50,35,1.1,4
