"Logiesaccommodaties; gasten, nachten, woonland, logiesvorm, regio"
"Logiesvormen: Totaal logiesaccommodaties"
"";"";"";"";"Regio's"
"Perioden";"Onderwerp";"Woonland van gasten";"";"Nederland";"Groningen (PV)";"Fryslân (PV)";"Drenthe (PV)";"Overijssel (PV)";"Flevoland (PV)";"Gelderland (PV)";"Utrecht (PV)";"Noord-Holland (PV)";"Zuid-Holland (PV)";"Zeeland (PV)";"Noord-Brabant (PV)";"Limburg (PV)"
"2022 maart";"Gasten";"Frankrijk";"x 1 000";"56";"0";"0";"0";"1";"0";"1";"2";"41";"6";"1";"3";"2"
"2022 maart";"Gasten";"Zwitserland en Liechtenstein";"x 1 000";"14";"0";"0";"0";"0";"0";"0";"0";"10";"2";"0";"1";"1"
"2022 maart";"Gasten";"Italië";"x 1 000";"33";"0";"0";"0";"0";"0";"1";"1";"26";"2";"0";"1";"1"
"2022 maart";"Gasten";"Spanje";"x 1 000";"30";"0";"0";"0";"0";"0";"1";"1";"21";"4";"0";"2";"1"
"2022 maart";"Gasten";"Denemarken";"x 1 000";"10";"0";"0";"0";"0";"0";"0";"0";"6";"1";"0";"1";"0"
"2022 maart";"Gasten";"Zweden";"x 1 000";"7";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"0";"0"
"2022 maart";"Gasten";"Overige landen Eurozone";"x 1 000";"56";"0";"0";"0";"1";"0";"1";"1";"40";"5";"1";"3";"2"
"2022 maart";"Gasten";"Overig Europa";"x 1 000";"80";"1";"1";"0";"6";"0";"3";"3";"42";"12";"1";"7";"4"
"2022 maart";"Gasten";"Amerika";"x 1 000";"71";"0";"1";"0";"0";"0";"1";"1";"58";"6";"0";"2";"2"
"2022 maart";"Gasten";"Azië";"x 1 000";"37";"0";"0";"0";"0";"0";"0";"1";"28";"4";"0";"2";"1"
"2022 maart";"Gasten";"Australië en Oceanië";"x 1 000";"3";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"2022 maart";"Gasten";"Afrika";"x 1 000";"10";"0";"0";"0";"0";"0";"0";"0";"7";"2";"0";"0";"0"
"2022 maart";"Overnachtingen";"Totaal landen";"x 1 000";"6927";"86";"276";"413";"294";"150";"704";"245";"1948";"842";"569";"684";"716"
"2022 maart";"Overnachtingen";"Nederland";"x 1 000";"4692";"69";"238";"375";"253";"126";"637";"198";"802";"550";"318";"554";"572"
"2022 maart";"Overnachtingen";"Totaal buitenland";"x 1 000";"2235";"17";"38";"38";"41";"24";"66";"47";"1146";"293";"251";"130";"144"
"2022 maart";"Overnachtingen";"Europa exclusief Nederland";"x 1 000";"1955";"16";"33";"38";"38";"22";"63";"41";"926";"267";"250";"121";"139"
"2022 maart";"Overnachtingen";"Duitsland";"x 1 000";"792";"8";"22";"26";"15";"12";"31";"12";"283";"129";"158";"26";"70"
"2022 maart";"Overnachtingen";"België";"x 1 000";"343";"2";"5";"7";"5";"5";"14";"8";"66";"51";"81";"53";"46"
"2022 maart";"Overnachtingen";"Verenigd Koninkrijk";"x 1 000";"171";"0";"0";"1";"2";"0";"2";"3";"135";"14";"0";"7";"3"
"2022 maart";"Overnachtingen";"Frankrijk";"x 1 000";"114";"0";"0";"0";"1";"0";"2";"3";"87";"11";"1";"5";"3"
"2022 maart";"Overnachtingen";"Zwitserland en Liechtenstein";"x 1 000";"31";"0";"0";"0";"0";"0";"0";"0";"23";"3";"0";"1";"1"
"2022 maart";"Overnachtingen";"Italië";"x 1 000";"82";"0";"0";"0";"0";"0";"1";"2";"66";"5";"0";"3";"2"
"2022 maart";"Overnachtingen";"Spanje";"x 1 000";"71";"0";"0";"0";"0";"0";"2";"2";"50";"8";"0";"4";"2"
"2022 maart";"Overnachtingen";"Denemarken";"x 1 000";"22";"0";"0";"0";"0";"0";"0";"0";"15";"2";"0";"1";"0"
"2022 maart";"Overnachtingen";"Zweden";"x 1 000";"14";"0";"0";"0";"0";"0";"0";"0";"9";"2";"0";"0";"0"
"2022 maart";"Overnachtingen";"Overige landen Eurozone";"x 1 000";"139";"0";"0";"0";"1";"0";"3";"3";"98";"13";"3";"7";"5"
"2022 maart";"Overnachtingen";"Overig Europa";"x 1 000";"176";"3";"2";"0";"10";"0";"6";"7";"95";"28";"2";"14";"7"
"2022 maart";"Overnachtingen";"Amerika";"x 1 000";"157";"0";"3";"0";"0";"0";"2";"3";"127";"13";"0";"4";"3"
"2022 maart";"Overnachtingen";"Azië";"x 1 000";"93";"0";"0";"0";"0";"0";"0";"2";"73";"8";"0";"4";"2"
"2022 maart";"Overnachtingen";"Australië en Oceanië";"x 1 000";"7";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0"
"2022 maart";"Overnachtingen";"Afrika";"x 1 000";"23";"0";"0";"0";"0";"0";"0";"0";"15";"4";"0";"0";"0"
"2023 maart";"Gasten";"Totaal landen";"x 1 000";"3331";"58";"111";"142";"153";"52";"290";"153";"1168";"421";"157";"316";"310"
"2023 maart";"Gasten";"Nederland";"x 1 000";"2051";"44";"98";"121";"132";"40";"255";"112";"431";"261";"84";"246";"226"
"2023 maart";"Gasten";"Totaal buitenland";"x 1 000";"1280";"14";"13";"21";"21";"12";"35";"41";"737";"160";"73";"70";"84"
"2023 maart";"Gasten";"Europa exclusief Nederland";"x 1 000";"1049";"13";"12";"21";"17";"11";"33";"36";"548";"141";"72";"64";"80"
"2023 maart";"Gasten";"Duitsland";"x 1 000";"384";"10";"8";"18";"9";"7";"17";"10";"142";"54";"47";"18";"43"
"2023 maart";"Gasten";"België";"x 1 000";"143";"1";"2";"1";"2";"1";"8";"7";"38";"23";"21";"20";"18"
"2023 maart";"Gasten";"Verenigd Koninkrijk";"x 1 000";"152";"1";"0";"0";"1";"0";"1";"4";"121";"13";"1";"6";"4"
"2023 maart";"Gasten";"Frankrijk";"x 1 000";"72";"0";"0";"0";"1";"1";"1";"3";"50";"10";"1";"3";"3"
"2023 maart";"Gasten";"Zwitserland en Liechtenstein";"x 1 000";"19";"0";"0";"0";"0";"0";"0";"1";"13";"2";"0";"1";"1"
"2023 maart";"Gasten";"Italië";"x 1 000";"42";"0";"0";"0";"0";"0";"1";"1";"32";"4";"0";"2";"1"
"2023 maart";"Gasten";"Spanje";"x 1 000";"44";"0";"0";"0";"0";"0";"0";"1";"33";"5";"0";"2";"1"
"2023 maart";"Gasten";"Denemarken";"x 1 000";"11";"0";"0";"0";"0";"0";"0";"0";"7";"2";"0";"0";"0"
"2023 maart";"Gasten";"Zweden";"x 1 000";"10";"0";"0";"0";"0";"0";"0";"0";"6";"2";"0";"1";"0"
"2023 maart";"Gasten";"Overige landen Eurozone";"x 1 000";"66";"1";"1";"0";"1";"0";"2";"2";"44";"8";"1";"3";"3"
"2023 maart";"Gasten";"Overig Europa";"x 1 000";"107";"1";"1";"0";"3";"1";"3";"7";"61";"17";"1";"8";"5"
"2023 maart";"Gasten";"Amerika";"x 1 000";"144";"0";"0";"0";"1";"0";"1";"3";"122";"10";"0";"3";"3"
"2023 maart";"Gasten";"Azië";"x 1 000";"70";"0";"0";"0";"2";"0";"1";"1";"54";"7";"0";"2";"1"
"2023 maart";"Gasten";"Australië en Oceanië";"x 1 000";"8";"0";"0";"0";"0";"0";"0";"0";"6";"1";"0";"0";"0"
"2023 maart";"Gasten";"Afrika";"x 1 000";"9";"0";"0";"0";"1";"0";"0";"0";"6";"1";"0";"0";"0"
"2023 maart";"Overnachtingen";"Totaal landen";"x 1 000";"8023";"108";"294";"444";"378";"170";"698";"266";"2624";"952";"516";"740";"834"
"2023 maart";"Overnachtingen";"Nederland";"x 1 000";"4830";"78";"246";"365";"324";"127";"617";"190";"880";"561";"265";"577";"602"
"2023 maart";"Overnachtingen";"Totaal buitenland";"x 1 000";"3193";"30";"49";"79";"54";"43";"82";"76";"1744";"391";"251";"163";"232"
"2023 maart";"Overnachtingen";"Europa exclusief Nederland";"x 1 000";"2649";"29";"45";"78";"43";"41";"77";"67";"1307";"343";"250";"150";"220"
"2023 maart";"Overnachtingen";"Duitsland";"x 1 000";"1111";"17";"30";"70";"21";"29";"41";"19";"369";"154";"182";"46";"134"
"2023 maart";"Overnachtingen";"België";"x 1 000";"284";"2";"6";"3";"3";"3";"13";"11";"63";"45";"54";"42";"39"
"2023 maart";"Overnachtingen";"Verenigd Koninkrijk";"x 1 000";"357";"1";"0";"0";"2";"0";"3";"7";"288";"30";"2";"12";"9"
"2023 maart";"Overnachtingen";"Frankrijk";"x 1 000";"155";"0";"0";"0";"1";"2";"2";"5";"109";"20";"2";"6";"7"
"2023 maart";"Overnachtingen";"Zwitserland en Liechtenstein";"x 1 000";"43";"0";"0";"0";"0";"0";"0";"1";"31";"5";"0";"1";"2"
"2023 maart";"Overnachtingen";"Italië";"x 1 000";"108";"0";"0";"0";"0";"0";"2";"2";"83";"10";"0";"4";"3"
"2023 maart";"Overnachtingen";"Spanje";"x 1 000";"104";"0";"0";"0";"0";"0";"0";"2";"76";"11";"0";"7";"3"
"2023 maart";"Overnachtingen";"Denemarken";"x 1 000";"26";"0";"0";"0";"0";"0";"0";"0";"17";"3";"0";"0";"0"
"2023 maart";"Overnachtingen";"Zweden";"x 1 000";"23";"0";"0";"0";"0";"0";"0";"0";"14";"4";"0";"1";"0"
"2023 maart";"Overnachtingen";"Overige landen Eurozone";"x 1 000";"174";"2";"2";"0";"2";"0";"7";"6";"109";"22";"3";"10";"8"
"2023 maart";"Overnachtingen";"Overig Europa";"x 1 000";"264";"5";"4";"0";"10";"3";"7";"13";"148";"38";"4";"20";"14"
"2023 maart";"Overnachtingen";"Amerika";"x 1 000";"320";"0";"0";"0";"2";"0";"2";"5";"269";"25";"0";"6";"8"
"2023 maart";"Overnachtingen";"Azië";"x 1 000";"180";"0";"0";"0";"7";"0";"2";"3";"138";"17";"0";"6";"3"
"2023 maart";"Overnachtingen";"Australië en Oceanië";"x 1 000";"21";"0";"0";"0";"0";"0";"0";"0";"16";"2";"0";"0";"0"
"2023 maart";"Overnachtingen";"Afrika";"x 1 000";"23";"0";"0";"0";"2";"0";"0";"0";"14";"4";"0";"0";"0"
"2024 maart";"Gasten";"Totaal landen";"x 1 000";"3587";"60";"119";"152";"145";"56";"295";"169";"1273";"484";"172";"332";"331"
"2024 maart";"Gasten";"Nederland";"x 1 000";"1960";"42";"93";"110";"118";"37";"242";"123";"430";"260";"71";"225";"209"
"2024 maart";"Gasten";"Totaal buitenland";"x 1 000";"1627";"17";"26";"42";"26";"19";"53";"46";"843";"224";"101";"107";"122"
"2024 maart";"Gasten";"Europa exclusief Nederland";"x 1 000";"1376";"16";"25";"42";"25";"18";"50";"41";"643";"201";"101";"99";"116"
"2024 maart";"Gasten";"Duitsland";"x 1 000";"599";"11";"20";"37";"17";"12";"33";"15";"187";"95";"70";"33";"68"
"2024 maart";"Gasten";"België";"x 1 000";"174";"1";"2";"2";"2";"2";"6";"7";"40";"32";"27";"28";"24"
"2024 maart";"Gasten";"Verenigd Koninkrijk";"x 1 000";"174";"1";"0";"0";"1";"1";"3";"5";"135";"15";"0";"8";"6"
"2024 maart";"Gasten";"Frankrijk";"x 1 000";"86";"0";"0";"1";"1";"2";"1";"3";"51";"14";"1";"6";"6"
"2024 maart";"Gasten";"Zwitserland en Liechtenstein";"x 1 000";"21";"0";"0";"0";"0";"0";"0";"1";"15";"2";"0";"1";"1"
"2024 maart";"Gasten";"Italië";"x 1 000";"50";"0";"0";"0";"0";"0";"1";"1";"39";"5";"0";"2";"2"
"2024 maart";"Gasten";"Spanje";"x 1 000";"66";"1";"0";"0";"0";"0";"1";"2";"46";"9";"0";"5";"3"
"2024 maart";"Gasten";"Denemarken";"x 1 000";"15";"0";"0";"0";"0";"0";"1";"1";"9";"1";"0";"1";"1"
"2024 maart";"Gasten";"Zweden";"x 1 000";"10";"0";"0";"0";"0";"0";"0";"1";"7";"1";"0";"0";"0"
"2024 maart";"Gasten";"Overige landen Eurozone";"x 1 000";"80";"1";"0";"1";"1";"0";"2";"3";"54";"10";"1";"5";"3"
"2024 maart";"Gasten";"Overig Europa";"x 1 000";"101";"1";"1";"0";"1";"0";"3";"4";"60";"17";"1";"9";"3"
"2024 maart";"Gasten";"Amerika";"x 1 000";"151";"0";"0";"1";"1";"0";"1";"2";"127";"11";"0";"4";"3"
"2024 maart";"Gasten";"Azië";"x 1 000";"78";"0";"1";"0";"1";"0";"1";"1";"60";"9";"0";"3";"2"
"2024 maart";"Gasten";"Australië en Oceanië";"x 1 000";"10";"0";"0";"0";"0";"0";"0";"0";"8";"1";"0";"1";"0"
"2024 maart";"Gasten";"Afrika";"x 1 000";"11";"0";"0";"0";"0";"0";"0";"1";"6";"2";"0";"1";"0"
"2024 maart";"Overnachtingen";"Totaal landen";"x 1 000";"8795";"125";"316";"478";"330";"187";"739";"307";"2954";"1115";"589";"776";"880"
"2024 maart";"Overnachtingen";"Nederland";"x 1 000";"4390";"77";"216";"311";"256";"113";"580";"209";"890";"526";"197";"508";"507"
"2024 maart";"Overnachtingen";"Totaal buitenland";"x 1 000";"4405";"48";"100";"167";"74";"74";"158";"98";"2065";"588";"392";"269";"372"
"2024 maart";"Overnachtingen";"Europa exclusief Nederland";"x 1 000";"3817";"46";"91";"165";"70";"72";"151";"87";"1604";"530";"391";"252";"358"
"2024 maart";"Overnachtingen";"Duitsland";"x 1 000";"1976";"27";"78";"152";"53";"49";"112";"32";"540";"288";"310";"102";"233"
"2024 maart";"Overnachtingen";"België";"x 1 000";"360";"3";"4";"4";"5";"6";"12";"12";"69";"61";"66";"60";"58"
"2024 maart";"Overnachtingen";"Verenigd Koninkrijk";"x 1 000";"402";"2";"0";"0";"2";"2";"5";"9";"313";"35";"0";"18";"13"
"2024 maart";"Overnachtingen";"Frankrijk";"x 1 000";"206";"0";"0";"2";"1";"8";"2";"5";"113";"32";"3";"17";"20"
"2024 maart";"Overnachtingen";"Zwitserland en Liechtenstein";"x 1 000";"49";"0";"0";"0";"0";"0";"0";"1";"35";"6";"0";"1";"3"
"2024 maart";"Overnachtingen";"Italië";"x 1 000";"129";"0";"0";"0";"0";"0";"2";"3";"102";"11";"0";"5";"4"
"2024 maart";"Overnachtingen";"Spanje";"x 1 000";"155";"3";"0";"0";"0";"0";"2";"5";"104";"22";"0";"11";"7"
"2024 maart";"Overnachtingen";"Denemarken";"x 1 000";"36";"0";"0";"0";"0";"0";"2";"1";"22";"3";"0";"2";"1"
"2024 maart";"Overnachtingen";"Zweden";"x 1 000";"23";"0";"0";"0";"0";"0";"0";"1";"15";"3";"0";"0";"0"
"2024 maart";"Overnachtingen";"Overige landen Eurozone";"x 1 000";"215";"4";"0";"2";"3";"0";"6";"6";"137";"27";"4";"13";"10"
"2024 maart";"Overnachtingen";"Overig Europa";"x 1 000";"266";"4";"3";"0";"4";"0";"8";"12";"155";"42";"6";"21";"9"
"2024 maart";"Overnachtingen";"Amerika";"x 1 000";"344";"0";"0";"2";"2";"0";"4";"5";"284";"28";"0";"8";"8"
"2024 maart";"Overnachtingen";"Azië";"x 1 000";"193";"0";"8";"0";"1";"0";"2";"4";"142";"22";"0";"6";"5"
"2024 maart";"Overnachtingen";"Australië en Oceanië";"x 1 000";"26";"0";"0";"0";"0";"0";"0";"0";"19";"3";"0";"1";"0"
"2024 maart";"Overnachtingen";"Afrika";"x 1 000";"25";"0";"0";"0";"0";"0";"0";"1";"15";"5";"0";"2";"0"
"2025 maart**";"Gasten";"Totaal landen";"x 1 000";"3618";"63";"116";"150";"133";"70";"319";"158";"1248";"502";"187";"345";"326"
"2025 maart**";"Gasten";"Nederland";"x 1 000";"2078";"45";"96";"127";"117";"55";"269";"115";"416";"290";"87";"243";"218"
"2025 maart**";"Gasten";"Totaal buitenland";"x 1 000";"1540";"18";"20";"22";"16";"15";"50";"42";"832";"212";"100";"102";"108"
"2025 maart**";"Gasten";"Europa exclusief Nederland";"x 1 000";"1272";"17";"19";"22";"15";"15";"47";"38";"616";"189";"99";"93";"102"
"2025 maart**";"Gasten";"Duitsland";"x 1 000";"450";"10";"13";"18";"8";"8";"26";"10";"147";"73";"61";"21";"54"
"2025 maart**";"Gasten";"België";"x 1 000";"216";"2";"2";"3";"2";"3";"8";"8";"49";"40";"33";"35";"30"
"2025 maart**";"Gasten";"Verenigd Koninkrijk";"x 1 000";"169";"1";"0";"0";"1";"1";"2";"3";"132";"18";"0";"6";"4"
"2025 maart**";"Gasten";"Frankrijk";"x 1 000";"71";"0";"0";"0";"0";"1";"1";"2";"47";"10";"1";"4";"3"
"2025 maart**";"Gasten";"Zwitserland en Liechtenstein";"x 1 000";"19";"0";"0";"0";"0";"0";"1";"1";"13";"3";"0";"1";"1"
"2025 maart**";"Gasten";"Italië";"x 1 000";"56";"0";"0";"0";"0";"0";"1";"1";"43";"6";"0";"2";"1"
"2025 maart**";"Gasten";"Spanje";"x 1 000";"69";"1";"0";"0";"0";"0";"1";"2";"46";"10";"0";"7";"2"
"2025 maart**";"Gasten";"Denemarken";"x 1 000";"9";"0";"0";"0";"0";"0";"0";"0";"5";"1";"0";"0";"0"
"2025 maart**";"Gasten";"Zweden";"x 1 000";"10";"0";"0";"0";"0";"0";"0";"0";"6";"1";"0";"1";"0"
"2025 maart**";"Gasten";"Overige landen Eurozone";"x 1 000";"83";"1";"0";"0";"1";"0";"2";"2";"56";"10";"1";"5";"3"
"2025 maart**";"Gasten";"Overig Europa";"x 1 000";"121";"1";"2";"0";"1";"1";"5";"7";"70";"16";"2";"11";"4"
"2025 maart**";"Gasten";"Amerika";"x 1 000";"163";"1";"0";"0";"0";"0";"1";"2";"136";"13";"0";"5";"4"
"2025 maart**";"Gasten";"Azië";"x 1 000";"84";"0";"0";"0";"1";"0";"2";"1";"65";"8";"0";"4";"2"
"2025 maart**";"Gasten";"Australië en Oceanië";"x 1 000";"11";"0";"0";"0";"0";"0";"0";"0";"8";"1";"0";"1";"0"
"2025 maart**";"Gasten";"Afrika";"x 1 000";"9";"0";"0";"0";"0";"0";"0";"0";"7";"1";"0";"0";"0"
"2025 maart**";"Overnachtingen";"Totaal landen";"x 1 000";"8613";"129";"293";"458";"293";"193";"786";"293";"2899";"1123";"562";"776";"808"
"2025 maart**";"Overnachtingen";"Nederland";"x 1 000";"4783";"83";"235";"382";"256";"144";"660";"208";"910";"601";"235";"540";"527"
"2025 maart**";"Overnachtingen";"Totaal buitenland";"x 1 000";"3830";"46";"58";"76";"37";"48";"125";"85";"1989";"521";"327";"236";"280"
"2025 maart**";"Overnachtingen";"Europa exclusief Nederland";"x 1 000";"3194";"42";"56";"76";"35";"46";"117";"73";"1478";"461";"326";"217";"267"
"2025 maart**";"Overnachtingen";"Duitsland";"x 1 000";"1251";"20";"40";"61";"21";"27";"65";"18";"387";"193";"220";"52";"146"
"2025 maart**";"Overnachtingen";"België";"x 1 000";"475";"3";"7";"10";"6";"10";"20";"12";"86";"80";"92";"76";"73"
"2025 maart**";"Overnachtingen";"Verenigd Koninkrijk";"x 1 000";"405";"3";"0";"0";"2";"1";"4";"7";"314";"48";"0";"13";"10"
"2025 maart**";"Overnachtingen";"Frankrijk";"x 1 000";"159";"0";"0";"0";"0";"1";"2";"5";"106";"22";"2";"9";"8"
"2025 maart**";"Overnachtingen";"Zwitserland en Liechtenstein";"x 1 000";"44";"0";"0";"0";"0";"0";"1";"1";"30";"6";"0";"2";"2"
"2025 maart**";"Overnachtingen";"Italië";"x 1 000";"143";"0";"0";"0";"0";"0";"2";"3";"112";"14";"0";"5";"4"
"2025 maart**";"Overnachtingen";"Spanje";"x 1 000";"163";"3";"0";"0";"0";"0";"1";"5";"105";"21";"0";"20";"6"
"2025 maart**";"Overnachtingen";"Denemarken";"x 1 000";"21";"0";"0";"0";"0";"0";"0";"0";"12";"3";"0";"0";"0"
"2025 maart**";"Overnachtingen";"Zweden";"x 1 000";"22";"0";"0";"0";"0";"0";"0";"0";"14";"4";"0";"1";"0"
"2025 maart**";"Overnachtingen";"Overige landen Eurozone";"x 1 000";"221";"5";"0";"0";"2";"0";"7";"6";"143";"28";"4";"12";"9"
"2025 maart**";"Overnachtingen";"Overig Europa";"x 1 000";"290";"5";"4";"0";"2";"2";"13";"13";"169";"41";"6";"26";"9"
"2025 maart**";"Overnachtingen";"Amerika";"x 1 000";"385";"1";"0";"0";"0";"0";"3";"6";"319";"33";"0";"9";"9"
"2025 maart**";"Overnachtingen";"Azië";"x 1 000";"202";"0";"0";"0";"1";"0";"5";"4";"155";"22";"0";"8";"3"
"2025 maart**";"Overnachtingen";"Australië en Oceanië";"x 1 000";"27";"0";"0";"0";"0";"0";"0";"0";"21";"2";"0";"1";"0"
"2025 maart**";"Overnachtingen";"Afrika";"x 1 000";"22";"0";"0";"0";"0";"0";"0";"0";"16";"3";"0";"0";"0"
"2026 maart*";"Gasten";"Totaal landen";"x 1 000";"3508";"52";"110";"127";"129";"69";"312";"153";"1287";"490";"147";"328";"304"
"2026 maart*";"Gasten";"Nederland";"x 1 000";"2013";"38";"90";"100";"111";"52";"265";"117";"449";"290";"69";"231";"201"
