woon_corop,woon_name,werk_corop,werk_name,jobs
CR01,Oost-Groningen (CR),CR40,Flevoland (CR),0.2
CR02,Delfzijl en omgeving (CR),CR01,Oost-Groningen (CR),1.4
CR02,Delfzijl en omgeving (CR),CR02,Delfzijl en omgeving (CR),8.2
CR02,Delfzijl en omgeving (CR),CR03,Overig Groningen (CR),6.4
CR02,Delfzijl en omgeving (CR),CR04,Noord-Friesland (CR),0.1
CR02,Delfzijl en omgeving (CR),CR05,Zuidwest-Friesland (CR),0.0
CR02,Delfzijl en omgeving (CR),CR06,Zuidoost-Friesland (CR),0.1
CR02,Delfzijl en omgeving (CR),CR07,Noord-Drenthe (CR),1.0
CR02,Delfzijl en omgeving (CR),CR08,Zuidoost-Drenthe (CR),0.3
CR02,Delfzijl en omgeving (CR),CR09,Zuidwest-Drenthe (CR),0.3
CR02,Delfzijl en omgeving (CR),CR10,Noord-Overijssel (CR),0.3
CR02,Delfzijl en omgeving (CR),CR11,Zuidwest-Overijssel (CR),0.0
CR02,Delfzijl en omgeving (CR),CR12,Twente (CR),0.1
CR02,Delfzijl en omgeving (CR),CR13,Veluwe (CR),0.1
CR02,Delfzijl en omgeving (CR),CR14,Achterhoek (CR),0.0
CR02,Delfzijl en omgeving (CR),CR15,Arnhem/Nijmegen (CR),0.1
CR02,Delfzijl en omgeving (CR),CR16,Zuidwest-Gelderland (CR),0.0
CR02,Delfzijl en omgeving (CR),CR17,Utrecht (CR),0.1
CR02,Delfzijl en omgeving (CR),CR18,Kop van Noord-Holland (CR),0.0
CR02,Delfzijl en omgeving (CR),CR19,Alkmaar en omgeving (CR),0.0
CR02,Delfzijl en omgeving (CR),CR20,IJmond (CR),0.0
CR02,Delfzijl en omgeving (CR),CR21,Agglomeratie Haarlem (CR),0.0
CR02,Delfzijl en omgeving (CR),CR22,Zaanstreek (CR),0.0
CR02,Delfzijl en omgeving (CR),CR23,Groot-Amsterdam (CR),0.1
CR02,Delfzijl en omgeving (CR),CR24,Het Gooi en Vechtstreek (CR),0.0
CR02,Delfzijl en omgeving (CR),CR25,Agglomeratie Leiden en Bollenstreek (CR),0.0
CR02,Delfzijl en omgeving (CR),CR26,Agglomeratie 's-Gravenhage (CR),0.0
CR02,Delfzijl en omgeving (CR),CR27,Delft en Westland (CR),0.0
CR02,Delfzijl en omgeving (CR),CR28,Oost-Zuid-Holland (CR),0.0
CR02,Delfzijl en omgeving (CR),CR29,Groot-Rijnmond (CR),0.1
CR02,Delfzijl en omgeving (CR),CR30,Zuidoost-Zuid-Holland (CR),0.1
CR02,Delfzijl en omgeving (CR),CR31,Zeeuwsch-Vlaanderen (CR),0.0
CR02,Delfzijl en omgeving (CR),CR32,Overig Zeeland (CR),0.0
CR02,Delfzijl en omgeving (CR),CR33,West-Noord-Brabant (CR),0.0
CR02,Delfzijl en omgeving (CR),CR34,Midden-Noord-Brabant (CR),0.0
CR02,Delfzijl en omgeving (CR),CR35,Noordoost-Noord-Brabant (CR),0.0
CR02,Delfzijl en omgeving (CR),CR36,Zuidoost-Noord-Brabant (CR),0.0
CR02,Delfzijl en omgeving (CR),CR37,Noord-Limburg (CR),0.0
CR02,Delfzijl en omgeving (CR),CR38,Midden-Limburg (CR),0.0
CR02,Delfzijl en omgeving (CR),CR39,Zuid-Limburg (CR),0.0
CR02,Delfzijl en omgeving (CR),CR40,Flevoland (CR),0.1
CR03,Overig Groningen (CR),CR01,Oost-Groningen (CR),6.6
CR03,Overig Groningen (CR),CR02,Delfzijl en omgeving (CR),3.8
CR03,Overig Groningen (CR),CR03,Overig Groningen (CR),137.4
CR03,Overig Groningen (CR),CR04,Noord-Friesland (CR),4.6
CR03,Overig Groningen (CR),CR05,Zuidwest-Friesland (CR),1.1
CR03,Overig Groningen (CR),CR06,Zuidoost-Friesland (CR),5.1
CR03,Overig Groningen (CR),CR07,Noord-Drenthe (CR),11.4
CR03,Overig Groningen (CR),CR08,Zuidoost-Drenthe (CR),2.2
CR03,Overig Groningen (CR),CR09,Zuidwest-Drenthe (CR),2.6
CR03,Overig Groningen (CR),CR10,Noord-Overijssel (CR),2.0
CR03,Overig Groningen (CR),CR11,Zuidwest-Overijssel (CR),0.3
CR03,Overig Groningen (CR),CR12,Twente (CR),0.9
CR03,Overig Groningen (CR),CR13,Veluwe (CR),0.9
CR03,Overig Groningen (CR),CR14,Achterhoek (CR),0.2
CR03,Overig Groningen (CR),CR15,Arnhem/Nijmegen (CR),0.5
CR03,Overig Groningen (CR),CR16,Zuidwest-Gelderland (CR),0.1
CR03,Overig Groningen (CR),CR17,Utrecht (CR),1.9
CR03,Overig Groningen (CR),CR18,Kop van Noord-Holland (CR),0.2
CR03,Overig Groningen (CR),CR19,Alkmaar en omgeving (CR),0.1
CR03,Overig Groningen (CR),CR20,IJmond (CR),0.0
CR03,Overig Groningen (CR),CR21,Agglomeratie Haarlem (CR),0.1
CR03,Overig Groningen (CR),CR22,Zaanstreek (CR),0.0
CR03,Overig Groningen (CR),CR23,Groot-Amsterdam (CR),1.7
CR03,Overig Groningen (CR),CR24,Het Gooi en Vechtstreek (CR),0.2
CR03,Overig Groningen (CR),CR25,Agglomeratie Leiden en Bollenstreek (CR),0.2
CR03,Overig Groningen (CR),CR26,Agglomeratie 's-Gravenhage (CR),0.4
CR03,Overig Groningen (CR),CR27,Delft en Westland (CR),0.1
CR03,Overig Groningen (CR),CR28,Oost-Zuid-Holland (CR),0.2
CR03,Overig Groningen (CR),CR29,Groot-Rijnmond (CR),0.7
CR03,Overig Groningen (CR),CR30,Zuidoost-Zuid-Holland (CR),0.3
CR03,Overig Groningen (CR),CR31,Zeeuwsch-Vlaanderen (CR),0.0
CR03,Overig Groningen (CR),CR32,Overig Zeeland (CR),0.0
CR03,Overig Groningen (CR),CR33,West-Noord-Brabant (CR),0.2
CR03,Overig Groningen (CR),CR34,Midden-Noord-Brabant (CR),0.2
CR03,Overig Groningen (CR),CR35,Noordoost-Noord-Brabant (CR),0.3
CR03,Overig Groningen (CR),CR36,Zuidoost-Noord-Brabant (CR),0.4
CR03,Overig Groningen (CR),CR37,Noord-Limburg (CR),0.0
CR03,Overig Groningen (CR),CR38,Midden-Limburg (CR),0.0
CR03,Overig Groningen (CR),CR39,Zuid-Limburg (CR),0.1
CR03,Overig Groningen (CR),CR40,Flevoland (CR),0.8
CR04,Noord-Friesland (CR),CR01,Oost-Groningen (CR),0.3
CR04,Noord-Friesland (CR),CR02,Delfzijl en omgeving (CR),0.2
CR04,Noord-Friesland (CR),CR03,Overig Groningen (CR),7.2
CR04,Noord-Friesland (CR),CR04,Noord-Friesland (CR),103.0
CR04,Noord-Friesland (CR),CR05,Zuidwest-Friesland (CR),6.3
CR04,Noord-Friesland (CR),CR06,Zuidoost-Friesland (CR),14.5
CR04,Noord-Friesland (CR),CR07,Noord-Drenthe (CR),0.8
CR04,Noord-Friesland (CR),CR08,Zuidoost-Drenthe (CR),0.3
CR04,Noord-Friesland (CR),CR09,Zuidwest-Drenthe (CR),1.0
CR04,Noord-Friesland (CR),CR10,Noord-Overijssel (CR),1.1
CR04,Noord-Friesland (CR),CR11,Zuidwest-Overijssel (CR),0.1
CR04,Noord-Friesland (CR),CR12,Twente (CR),0.3
CR04,Noord-Friesland (CR),CR13,Veluwe (CR),0.6
CR04,Noord-Friesland (CR),CR14,Achterhoek (CR),0.1
CR04,Noord-Friesland (CR),CR15,Arnhem/Nijmegen (CR),0.3
CR04,Noord-Friesland (CR),CR16,Zuidwest-Gelderland (CR),0.1
CR04,Noord-Friesland (CR),CR17,Utrecht (CR),1.0
CR04,Noord-Friesland (CR),CR18,Kop van Noord-Holland (CR),0.5
CR04,Noord-Friesland (CR),CR19,Alkmaar en omgeving (CR),0.1
CR04,Noord-Friesland (CR),CR20,IJmond (CR),0.1
CR04,Noord-Friesland (CR),CR21,Agglomeratie Haarlem (CR),0.1
CR04,Noord-Friesland (CR),CR22,Zaanstreek (CR),0.1
CR04,Noord-Friesland (CR),CR23,Groot-Amsterdam (CR),1.1
CR04,Noord-Friesland (CR),CR24,Het Gooi en Vechtstreek (CR),0.1
CR04,Noord-Friesland (CR),CR25,Agglomeratie Leiden en Bollenstreek (CR),0.2
CR04,Noord-Friesland (CR),CR26,Agglomeratie 's-Gravenhage (CR),0.2
CR04,Noord-Friesland (CR),CR27,Delft en Westland (CR),0.1
CR04,Noord-Friesland (CR),CR28,Oost-Zuid-Holland (CR),0.1
CR04,Noord-Friesland (CR),CR29,Groot-Rijnmond (CR),0.9
CR04,Noord-Friesland (CR),CR30,Zuidoost-Zuid-Holland (CR),0.3
CR04,Noord-Friesland (CR),CR31,Zeeuwsch-Vlaanderen (CR),0.0
CR04,Noord-Friesland (CR),CR32,Overig Zeeland (CR),0.1
CR04,Noord-Friesland (CR),CR33,West-Noord-Brabant (CR),0.2
CR04,Noord-Friesland (CR),CR34,Midden-Noord-Brabant (CR),0.2
CR04,Noord-Friesland (CR),CR35,Noordoost-Noord-Brabant (CR),0.2
CR04,Noord-Friesland (CR),CR36,Zuidoost-Noord-Brabant (CR),0.3
CR04,Noord-Friesland (CR),CR37,Noord-Limburg (CR),0.0
CR04,Noord-Friesland (CR),CR38,Midden-Limburg (CR),0.0
CR04,Noord-Friesland (CR),CR39,Zuid-Limburg (CR),0.1
CR04,Noord-Friesland (CR),CR40,Flevoland (CR),0.7
CR05,Zuidwest-Friesland (CR),CR01,Oost-Groningen (CR),0.1
CR05,Zuidwest-Friesland (CR),CR02,Delfzijl en omgeving (CR),0.1
CR05,Zuidwest-Friesland (CR),CR03,Overig Groningen (CR),2.3
CR05,Zuidwest-Friesland (CR),CR04,Noord-Friesland (CR),8.8
CR05,Zuidwest-Friesland (CR),CR05,Zuidwest-Friesland (CR),35.8
CR05,Zuidwest-Friesland (CR),CR06,Zuidoost-Friesland (CR),7.5
CR05,Zuidwest-Friesland (CR),CR07,Noord-Drenthe (CR),0.2
CR05,Zuidwest-Friesland (CR),CR08,Zuidoost-Drenthe (CR),0.2
CR05,Zuidwest-Friesland (CR),CR09,Zuidwest-Drenthe (CR),0.8
CR05,Zuidwest-Friesland (CR),CR10,Noord-Overijssel (CR),0.8
CR05,Zuidwest-Friesland (CR),CR11,Zuidwest-Overijssel (CR),0.1
CR05,Zuidwest-Friesland (CR),CR12,Twente (CR),0.1
CR05,Zuidwest-Friesland (CR),CR13,Veluwe (CR),0.5
CR05,Zuidwest-Friesland (CR),CR14,Achterhoek (CR),0.0
CR05,Zuidwest-Friesland (CR),CR15,Arnhem/Nijmegen (CR),0.2
CR05,Zuidwest-Friesland (CR),CR16,Zuidwest-Gelderland (CR),0.0
CR05,Zuidwest-Friesland (CR),CR17,Utrecht (CR),0.5
CR05,Zuidwest-Friesland (CR),CR18,Kop van Noord-Holland (CR),0.4
CR05,Zuidwest-Friesland (CR),CR19,Alkmaar en omgeving (CR),0.1
CR05,Zuidwest-Friesland (CR),CR20,IJmond (CR),0.1
CR05,Zuidwest-Friesland (CR),CR21,Agglomeratie Haarlem (CR),0.1
CR05,Zuidwest-Friesland (CR),CR22,Zaanstreek (CR),0.0
CR05,Zuidwest-Friesland (CR),CR23,Groot-Amsterdam (CR),0.7
CR05,Zuidwest-Friesland (CR),CR24,Het Gooi en Vechtstreek (CR),0.1
CR05,Zuidwest-Friesland (CR),CR25,Agglomeratie Leiden en Bollenstreek (CR),0.1
CR05,Zuidwest-Friesland (CR),CR26,Agglomeratie 's-Gravenhage (CR),0.1
CR05,Zuidwest-Friesland (CR),CR27,Delft en Westland (CR),0.1
CR05,Zuidwest-Friesland (CR),CR28,Oost-Zuid-Holland (CR),0.1
CR05,Zuidwest-Friesland (CR),CR29,Groot-Rijnmond (CR),0.3
CR05,Zuidwest-Friesland (CR),CR30,Zuidoost-Zuid-Holland (CR),0.2
CR05,Zuidwest-Friesland (CR),CR31,Zeeuwsch-Vlaanderen (CR),0.0
CR05,Zuidwest-Friesland (CR),CR32,Overig Zeeland (CR),0.0
CR05,Zuidwest-Friesland (CR),CR33,West-Noord-Brabant (CR),0.1
CR05,Zuidwest-Friesland (CR),CR34,Midden-Noord-Brabant (CR),0.1
CR05,Zuidwest-Friesland (CR),CR35,Noordoost-Noord-Brabant (CR),0.1
CR05,Zuidwest-Friesland (CR),CR36,Zuidoost-Noord-Brabant (CR),0.1
CR05,Zuidwest-Friesland (CR),CR37,Noord-Limburg (CR),0.0
CR05,Zuidwest-Friesland (CR),CR38,Midden-Limburg (CR),0.0
CR05,Zuidwest-Friesland (CR),CR39,Zuid-Limburg (CR),0.0
CR05,Zuidwest-Friesland (CR),CR40,Flevoland (CR),1.7
CR06,Zuidoost-Friesland (CR),CR01,Oost-Groningen (CR),0.2
CR06,Zuidoost-Friesland (CR),CR02,Delfzijl en omgeving (CR),0.2
CR06,Zuidoost-Friesland (CR),CR03,Overig Groningen (CR),6.1
CR06,Zuidoost-Friesland (CR),CR04,Noord-Friesland (CR),8.4
CR06,Zuidoost-Friesland (CR),CR05,Zuidwest-Friesland (CR),4.5
CR06,Zuidoost-Friesland (CR),CR06,Zuidoost-Friesland (CR),51.4
CR06,Zuidoost-Friesland (CR),CR07,Noord-Drenthe (CR),2.5
CR06,Zuidoost-Friesland (CR),CR08,Zuidoost-Drenthe (CR),0.5
CR06,Zuidoost-Friesland (CR),CR09,Zuidwest-Drenthe (CR),2.1
CR06,Zuidoost-Friesland (CR),CR10,Noord-Overijssel (CR),2.4
CR06,Zuidoost-Friesland (CR),CR11,Zuidwest-Overijssel (CR),0.1
CR06,Zuidoost-Friesland (CR),CR12,Twente (CR),0.4
CR06,Zuidoost-Friesland (CR),CR13,Veluwe (CR),0.7
CR06,Zuidoost-Friesland (CR),CR14,Achterhoek (CR),0.1
CR06,Zuidoost-Friesland (CR),CR15,Arnhem/Nijmegen (CR),0.2
CR06,Zuidoost-Friesland (CR),CR16,Zuidwest-Gelderland (CR),0.1
CR06,Zuidoost-Friesland (CR),CR17,Utrecht (CR),0.8
CR06,Zuidoost-Friesland (CR),CR18,Kop van Noord-Holland (CR),0.2
CR06,Zuidoost-Friesland (CR),CR19,Alkmaar en omgeving (CR),0.1
CR06,Zuidoost-Friesland (CR),CR20,IJmond (CR),0.0
CR06,Zuidoost-Friesland (CR),CR21,Agglomeratie Haarlem (CR),0.0
CR06,Zuidoost-Friesland (CR),CR22,Zaanstreek (CR),0.0
CR06,Zuidoost-Friesland (CR),CR23,Groot-Amsterdam (CR),0.7
CR06,Zuidoost-Friesland (CR),CR24,Het Gooi en Vechtstreek (CR),0.1
CR06,Zuidoost-Friesland (CR),CR25,Agglomeratie Leiden en Bollenstreek (CR),0.0
CR06,Zuidoost-Friesland (CR),CR26,Agglomeratie 's-Gravenhage (CR),0.1
CR06,Zuidoost-Friesland (CR),CR27,Delft en Westland (CR),0.0
CR06,Zuidoost-Friesland (CR),CR28,Oost-Zuid-Holland (CR),0.1
CR06,Zuidoost-Friesland (CR),CR29,Groot-Rijnmond (CR),0.3
CR06,Zuidoost-Friesland (CR),CR30,Zuidoost-Zuid-Holland (CR),0.1
CR06,Zuidoost-Friesland (CR),CR31,Zeeuwsch-Vlaanderen (CR),0.0
CR06,Zuidoost-Friesland (CR),CR32,Overig Zeeland (CR),0.0
CR06,Zuidoost-Friesland (CR),CR33,West-Noord-Brabant (CR),0.2
CR06,Zuidoost-Friesland (CR),CR34,Midden-Noord-Brabant (CR),0.1
CR06,Zuidoost-Friesland (CR),CR35,Noordoost-Noord-Brabant (CR),0.2
CR06,Zuidoost-Friesland (CR),CR36,Zuidoost-Noord-Brabant (CR),0.2
CR06,Zuidoost-Friesland (CR),CR37,Noord-Limburg (CR),0.0
CR06,Zuidoost-Friesland (CR),CR38,Midden-Limburg (CR),0.0
CR06,Zuidoost-Friesland (CR),CR39,Zuid-Limburg (CR),0.0
CR06,Zuidoost-Friesland (CR),CR40,Flevoland (CR),1.2
CR07,Noord-Drenthe (CR),CR01,Oost-Groningen (CR),2.4
CR07,Noord-Drenthe (CR),CR02,Delfzijl en omgeving (CR),0.5
CR07,Noord-Drenthe (CR),CR03,Overig Groningen (CR),19.3
CR07,Noord-Drenthe (CR),CR04,Noord-Friesland (CR),0.8
CR07,Noord-Drenthe (CR),CR05,Zuidwest-Friesland (CR),0.2
CR07,Noord-Drenthe (CR),CR06,Zuidoost-Friesland (CR),1.9
CR07,Noord-Drenthe (CR),CR07,Noord-Drenthe (CR),43.8
CR07,Noord-Drenthe (CR),CR08,Zuidoost-Drenthe (CR),3.2
CR07,Noord-Drenthe (CR),CR09,Zuidwest-Drenthe (CR),4.4
CR07,Noord-Drenthe (CR),CR10,Noord-Overijssel (CR),3.2
CR07,Noord-Drenthe (CR),CR11,Zuidwest-Overijssel (CR),0.2
CR07,Noord-Drenthe (CR),CR12,Twente (CR),1.2
CR07,Noord-Drenthe (CR),CR13,Veluwe (CR),1.3
CR07,Noord-Drenthe (CR),CR14,Achterhoek (CR),0.2
CR07,Noord-Drenthe (CR),CR15,Arnhem/Nijmegen (CR),0.2
CR07,Noord-Drenthe (CR),CR16,Zuidwest-Gelderland (CR),0.1
CR07,Noord-Drenthe (CR),CR17,Utrecht (CR),0.7
CR07,Noord-Drenthe (CR),CR18,Kop van Noord-Holland (CR),0.1
CR07,Noord-Drenthe (CR),CR19,Alkmaar en omgeving (CR),0.0
CR07,Noord-Drenthe (CR),CR20,IJmond (CR),0.0
CR07,Noord-Drenthe (CR),CR21,Agglomeratie Haarlem (CR),0.0
CR07,Noord-Drenthe (CR),CR22,Zaanstreek (CR),0.0
CR07,Noord-Drenthe (CR),CR23,Groot-Amsterdam (CR),0.5
CR07,Noord-Drenthe (CR),CR24,Het Gooi en Vechtstreek (CR),0.0
CR07,Noord-Drenthe (CR),CR25,Agglomeratie Leiden en Bollenstreek (CR),0.1
CR07,Noord-Drenthe (CR),CR26,Agglomeratie 's-Gravenhage (CR),0.1
CR07,Noord-Drenthe (CR),CR27,Delft en Westland (CR),0.0
CR07,Noord-Drenthe (CR),CR28,Oost-Zuid-Holland (CR),0.1
CR07,Noord-Drenthe (CR),CR29,Groot-Rijnmond (CR),0.2
CR07,Noord-Drenthe (CR),CR30,Zuidoost-Zuid-Holland (CR),0.1
CR07,Noord-Drenthe (CR),CR31,Zeeuwsch-Vlaanderen (CR),0.0
CR07,Noord-Drenthe (CR),CR32,Overig Zeeland (CR),0.0
CR07,Noord-Drenthe (CR),CR33,West-Noord-Brabant (CR),0.1
CR07,Noord-Drenthe (CR),CR34,Midden-Noord-Brabant (CR),0.1
CR07,Noord-Drenthe (CR),CR35,Noordoost-Noord-Brabant (CR),0.1
CR07,Noord-Drenthe (CR),CR36,Zuidoost-Noord-Brabant (CR),0.2
CR07,Noord-Drenthe (CR),CR37,Noord-Limburg (CR),0.0
CR07,Noord-Drenthe (CR),CR38,Midden-Limburg (CR),0.0
CR07,Noord-Drenthe (CR),CR39,Zuid-Limburg (CR),0.0
CR07,Noord-Drenthe (CR),CR40,Flevoland (CR),0.4
CR08,Zuidoost-Drenthe (CR),CR01,Oost-Groningen (CR),3.4
CR08,Zuidoost-Drenthe (CR),CR02,Delfzijl en omgeving (CR),0.2
CR08,Zuidoost-Drenthe (CR),CR03,Overig Groningen (CR),2.4
CR08,Zuidoost-Drenthe (CR),CR04,Noord-Friesland (CR),0.2
CR08,Zuidoost-Drenthe (CR),CR05,Zuidwest-Friesland (CR),0.1
CR08,Zuidoost-Drenthe (CR),CR06,Zuidoost-Friesland (CR),0.4
CR08,Zuidoost-Drenthe (CR),CR07,Noord-Drenthe (CR),6.5
CR08,Zuidoost-Drenthe (CR),CR08,Zuidoost-Drenthe (CR),42.8
CR08,Zuidoost-Drenthe (CR),CR09,Zuidwest-Drenthe (CR),4.9
CR08,Zuidoost-Drenthe (CR),CR10,Noord-Overijssel (CR),4.9
CR08,Zuidoost-Drenthe (CR),CR11,Zuidwest-Overijssel (CR),0.7
CR08,Zuidoost-Drenthe (CR),CR12,Twente (CR),1.8
CR08,Zuidoost-Drenthe (CR),CR13,Veluwe (CR),0.6
CR08,Zuidoost-Drenthe (CR),CR14,Achterhoek (CR),0.1
CR08,Zuidoost-Drenthe (CR),CR15,Arnhem/Nijmegen (CR),0.2
CR08,Zuidoost-Drenthe (CR),CR16,Zuidwest-Gelderland (CR),0.1
CR08,Zuidoost-Drenthe (CR),CR17,Utrecht (CR),0.6
CR08,Zuidoost-Drenthe (CR),CR18,Kop van Noord-Holland (CR),0.1
CR08,Zuidoost-Drenthe (CR),CR19,Alkmaar en omgeving (CR),0.0
CR08,Zuidoost-Drenthe (CR),CR20,IJmond (CR),0.0
CR08,Zuidoost-Drenthe (CR),CR21,Agglomeratie Haarlem (CR),0.0
CR08,Zuidoost-Drenthe (CR),CR22,Zaanstreek (CR),0.0
CR08,Zuidoost-Drenthe (CR),CR23,Groot-Amsterdam (CR),0.4
CR08,Zuidoost-Drenthe (CR),CR24,Het Gooi en Vechtstreek (CR),0.0
CR08,Zuidoost-Drenthe (CR),CR25,Agglomeratie Leiden en Bollenstreek (CR),0.0
CR08,Zuidoost-Drenthe (CR),CR26,Agglomeratie 's-Gravenhage (CR),0.1
CR08,Zuidoost-Drenthe (CR),CR27,Delft en Westland (CR),0.0
CR08,Zuidoost-Drenthe (CR),CR28,Oost-Zuid-Holland (CR),0.2
CR08,Zuidoost-Drenthe (CR),CR29,Groot-Rijnmond (CR),0.3
CR08,Zuidoost-Drenthe (CR),CR30,Zuidoost-Zuid-Holland (CR),0.1
CR08,Zuidoost-Drenthe (CR),CR31,Zeeuwsch-Vlaanderen (CR),0.0
CR08,Zuidoost-Drenthe (CR),CR32,Overig Zeeland (CR),0.0
CR08,Zuidoost-Drenthe (CR),CR33,West-Noord-Brabant (CR),0.1
CR08,Zuidoost-Drenthe (CR),CR34,Midden-Noord-Brabant (CR),0.1
CR08,Zuidoost-Drenthe (CR),CR35,Noordoost-Noord-Brabant (CR),0.2
CR08,Zuidoost-Drenthe (CR),CR36,Zuidoost-Noord-Brabant (CR),0.2
CR08,Zuidoost-Drenthe (CR),CR37,Noord-Limburg (CR),0.1
CR08,Zuidoost-Drenthe (CR),CR38,Midden-Limburg (CR),0.0
CR08,Zuidoost-Drenthe (CR),CR39,Zuid-Limburg (CR),0.1
CR08,Zuidoost-Drenthe (CR),CR40,Flevoland (CR),0.3
CR09,Zuidwest-Drenthe (CR),CR01,Oost-Groningen (CR),0.1
CR09,Zuidwest-Drenthe (CR),CR02,Delfzijl en omgeving (CR),0.0
CR09,Zuidwest-Drenthe (CR),CR03,Overig Groningen (CR),1.2
CR09,Zuidwest-Drenthe (CR),CR04,Noord-Friesland (CR),0.3
CR09,Zuidwest-Drenthe (CR),CR05,Zuidwest-Friesland (CR),0.3
CR09,Zuidwest-Drenthe (CR),CR06,Zuidoost-Friesland (CR),1.1
CR09,Zuidwest-Drenthe (CR),CR07,Noord-Drenthe (CR),4.0
CR09,Zuidwest-Drenthe (CR),CR08,Zuidoost-Drenthe (CR),2.5
CR09,Zuidwest-Drenthe (CR),CR09,Zuidwest-Drenthe (CR),31.9
CR09,Zuidwest-Drenthe (CR),CR10,Noord-Overijssel (CR),11.4
CR09,Zuidwest-Drenthe (CR),CR11,Zuidwest-Overijssel (CR),0.8
CR09,Zuidwest-Drenthe (CR),CR12,Twente (CR),1.6
CR09,Zuidwest-Drenthe (CR),CR13,Veluwe (CR),1.7
CR09,Zuidwest-Drenthe (CR),CR14,Achterhoek (CR),0.2
CR09,Zuidwest-Drenthe (CR),CR15,Arnhem/Nijmegen (CR),0.3
CR09,Zuidwest-Drenthe (CR),CR16,Zuidwest-Gelderland (CR),0.1
CR09,Zuidwest-Drenthe (CR),CR17,Utrecht (CR),0.7
CR09,Zuidwest-Drenthe (CR),CR18,Kop van Noord-Holland (CR),0.1
CR09,Zuidwest-Drenthe (CR),CR19,Alkmaar en omgeving (CR),0.0
CR09,Zuidwest-Drenthe (CR),CR20,IJmond (CR),0.0
CR09,Zuidwest-Drenthe (CR),CR21,Agglomeratie Haarlem (CR),0.0
CR09,Zuidwest-Drenthe (CR),CR22,Zaanstreek (CR),0.0
CR09,Zuidwest-Drenthe (CR),CR23,Groot-Amsterdam (CR),0.4
CR09,Zuidwest-Drenthe (CR),CR24,Het Gooi en Vechtstreek (CR),0.1
CR09,Zuidwest-Drenthe (CR),CR25,Agglomeratie Leiden en Bollenstreek (CR),0.0
CR09,Zuidwest-Drenthe (CR),CR26,Agglomeratie 's-Gravenhage (CR),0.1
CR09,Zuidwest-Drenthe (CR),CR27,Delft en Westland (CR),0.0
CR09,Zuidwest-Drenthe (CR),CR28,Oost-Zuid-Holland (CR),0.1
CR09,Zuidwest-Drenthe (CR),CR29,Groot-Rijnmond (CR),0.3
