"Populatie";"Geslacht";"Persoonskenmerken";"Vervoerwijzen";"Marges";"Perioden";"Regio's";"Gemiddeld per persoon per dag /Verplaatsingen  (aantal)";"Gemiddeld per persoon per dag /Afstand  (reizigerskilometers)";"Gemiddeld per persoon per dag /Reisduur (minuten)"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Personenauto  (passagier)";"Waarde";"2019";"Nederland";0,31;6,65;9,38
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Personenauto  (passagier)";"Waarde";"2020";"Nederland";0,24;4,37;6,66
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Personenauto  (passagier)";"Waarde";"2021";"Nederland";0,26;5,1;7,81
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Personenauto  (passagier)";"Waarde";"2022";"Nederland";0,28;5,46;8,12
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Personenauto  (passagier)";"Waarde";"2023";"Nederland";0,3;6,04;8,72
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Personenauto  (passagier)";"Waarde";"2024*";"Nederland";0,29;5,95;8,73
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Trein";"Waarde";"2018";"Nederland";0,08;3,88;6,11
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Trein";"Waarde";"2019";"Nederland";0,08;4,08;6,39
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Trein";"Waarde";"2020";"Nederland";0,03;1,6;2,53
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Trein";"Waarde";"2021";"Nederland";0,03;1,67;2,77
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Trein";"Waarde";"2022";"Nederland";0,05;2,62;4,25
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Trein";"Waarde";"2023";"Nederland";0,07;3,26;5,3
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Trein";"Waarde";"2024*";"Nederland";0,07;3,3;5,33
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Fiets";"Waarde";"2018";"Nederland";0,79;3,16;16,46
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Fiets";"Waarde";"2019";"Nederland";0,76;3,01;16,26
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Fiets";"Waarde";"2020";"Nederland";0,63;2,61;14,74
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Fiets";"Waarde";"2021";"Nederland";0,64;2,68;15,18
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Fiets";"Waarde";"2022";"Nederland";0,75;3,04;16,72
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Fiets";"Waarde";"2023";"Nederland";0,73;2,92;15,81
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Fiets";"Waarde";"2024*";"Nederland";0,75;3,04;16,29
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Totaal";"Waarde";"2018";"Nederland";3,16;17,89;60,34
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Totaal";"Waarde";"2019";"Nederland";3,12;17,08;58,72
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Totaal";"Waarde";"2020";"Nederland";2,58;13,5;58,51
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Totaal";"Waarde";"2021";"Nederland";2,8;14,99;66,82
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Totaal";"Waarde";"2022";"Nederland";2,88;15,56;60,71
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Totaal";"Waarde";"2023";"Nederland";2,84;16,8;60,47
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Totaal";"Waarde";"2024*";"Nederland";2,92;17,36;61,53
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Personenauto (bestuurder)";"Waarde";"2018";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Personenauto (bestuurder)";"Waarde";"2019";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Personenauto (bestuurder)";"Waarde";"2020";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Personenauto (bestuurder)";"Waarde";"2021";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Personenauto (bestuurder)";"Waarde";"2022";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Personenauto (bestuurder)";"Waarde";"2023";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Personenauto (bestuurder)";"Waarde";"2024*";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Personenauto  (passagier)";"Waarde";"2018";"Nederland";1,03;12,97;20,63
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Personenauto  (passagier)";"Waarde";"2019";"Nederland";1,04;12,3;20,62
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Personenauto  (passagier)";"Waarde";"2020";"Nederland";0,78;9,38;16,58
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Personenauto  (passagier)";"Waarde";"2021";"Nederland";0,82;10,51;18,07
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Personenauto  (passagier)";"Waarde";"2022";"Nederland";0,88;10,95;19,13
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Personenauto  (passagier)";"Waarde";"2023";"Nederland";0,93;11,95;20,45
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Personenauto  (passagier)";"Waarde";"2024*";"Nederland";0,91;12,78;21,29
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Trein";"Waarde";"2018";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Trein";"Waarde";"2019";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Trein";"Waarde";"2020";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Trein";"Waarde";"2021";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Trein";"Waarde";"2022";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Trein";"Waarde";"2023";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Trein";"Waarde";"2024*";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Fiets";"Waarde";"2018";"Nederland";1,27;2,55;19,28
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Fiets";"Waarde";"2019";"Nederland";1,19;2,49;19,85
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Fiets";"Waarde";"2020";"Nederland";0,99;2,18;18,76
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Fiets";"Waarde";"2021";"Nederland";1,01;2,35;21,1
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Fiets";"Waarde";"2022";"Nederland";1,09;2,34;19,43
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Fiets";"Waarde";"2023";"Nederland";1,08;2,34;19,33
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Fiets";"Waarde";"2024*";"Nederland";1,14;2,45;20
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Totaal";"Waarde";"2018";"Nederland";2,73;23,27;69,02
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Totaal";"Waarde";"2019";"Nederland";2,64;23,59;69,31
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Totaal";"Waarde";"2020";"Nederland";2,11;15,58;53,97
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Totaal";"Waarde";"2021";"Nederland";2,35;17,91;65,39
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Totaal";"Waarde";"2022";"Nederland";2,61;20,17;67,06
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Totaal";"Waarde";"2023";"Nederland";2,65;22,1;68,62
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Totaal";"Waarde";"2024*";"Nederland";2,69;21,62;70,09
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Personenauto (bestuurder)";"Waarde";"2018";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Personenauto (bestuurder)";"Waarde";"2019";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Personenauto (bestuurder)";"Waarde";"2020";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Personenauto (bestuurder)";"Waarde";"2021";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Personenauto (bestuurder)";"Waarde";"2022";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Personenauto (bestuurder)";"Waarde";"2023";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Personenauto (bestuurder)";"Waarde";"2024*";"Nederland";;;
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Personenauto  (passagier)";"Waarde";"2018";"Nederland";0,53;9,67;14,57
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Personenauto  (passagier)";"Waarde";"2019";"Nederland";0,51;10,95;15,46
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Personenauto  (passagier)";"Waarde";"2020";"Nederland";0,41;7,12;10,5
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Personenauto  (passagier)";"Waarde";"2021";"Nederland";0,47;8,57;13,65
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Personenauto  (passagier)";"Waarde";"2022";"Nederland";0,46;8,45;12,66
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Personenauto  (passagier)";"Waarde";"2023";"Nederland";0,5;10,26;14,2
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Personenauto  (passagier)";"Waarde";"2024*";"Nederland";0,5;9,24;14,14
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Trein";"Waarde";"2018";"Nederland";0,07;2,9;5,12
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Trein";"Waarde";"2019";"Nederland";0,06;2,46;4,29
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Trein";"Waarde";"2020";"Nederland";0,03;1,03;2,05
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Trein";"Waarde";"2021";"Nederland";0,04;1,2;2,35
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Trein";"Waarde";"2022";"Nederland";0,06;1,99;3,63
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Trein";"Waarde";"2023";"Nederland";0,05;2,27;4,14
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Trein";"Waarde";"2024*";"Nederland";0,05;2,11;3,89
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Fiets";"Waarde";"2018";"Nederland";1,59;6,42;32,9
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Fiets";"Waarde";"2019";"Nederland";1,57;6,22;33,4
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Fiets";"Waarde";"2020";"Nederland";1,2;4,71;26,42
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Fiets";"Waarde";"2021";"Nederland";1,29;5,15;29,51
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Fiets";"Waarde";"2022";"Nederland";1,54;6,1;33,01
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Fiets";"Waarde";"2023";"Nederland";1,54;6,21;32,52
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Fiets";"Waarde";"2024*";"Nederland";1,55;6,3;33,23
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Totaal";"Waarde";"2018";"Nederland";2,74;42,52;84,38
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Totaal";"Waarde";"2019";"Nederland";2,63;41,57;81,05
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Totaal";"Waarde";"2020";"Nederland";2,23;26,8;61,92
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Totaal";"Waarde";"2021";"Nederland";2,36;31,46;71,67
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Totaal";"Waarde";"2022";"Nederland";2,56;34,18;77,49
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Totaal";"Waarde";"2023";"Nederland";2,55;35,41;77,76
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Totaal";"Waarde";"2024*";"Nederland";2,53;35,72;77,43
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Personenauto (bestuurder)";"Waarde";"2018";"Nederland";0,75;14,63;20,49
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Personenauto (bestuurder)";"Waarde";"2019";"Nederland";0,75;14,82;20,77
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Personenauto (bestuurder)";"Waarde";"2020";"Nederland";0,62;10,14;14,72
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Personenauto (bestuurder)";"Waarde";"2021";"Nederland";0,65;11,58;17
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Personenauto (bestuurder)";"Waarde";"2022";"Nederland";0,66;12,08;17,49
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Personenauto (bestuurder)";"Waarde";"2023";"Nederland";0,65;11,96;17,25
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Personenauto (bestuurder)";"Waarde";"2024*";"Nederland";0,65;11,97;17,04
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Personenauto  (passagier)";"Waarde";"2018";"Nederland";0,3;7,23;10,17
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Personenauto  (passagier)";"Waarde";"2019";"Nederland";0,28;6,51;9,02
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Personenauto  (passagier)";"Waarde";"2020";"Nederland";0,27;5,38;8,24
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Personenauto  (passagier)";"Waarde";"2021";"Nederland";0,27;6,08;9,1
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Personenauto  (passagier)";"Waarde";"2022";"Nederland";0,28;5,42;8,59
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Personenauto  (passagier)";"Waarde";"2023";"Nederland";0,3;6,37;9,56
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Personenauto  (passagier)";"Waarde";"2024*";"Nederland";0,29;6,86;9,42
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Trein";"Waarde";"2018";"Nederland";0,23;11,32;18,01
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Trein";"Waarde";"2019";"Nederland";0,24;11,08;17,91
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Trein";"Waarde";"2020";"Nederland";0,11;5,31;8,39
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Trein";"Waarde";"2021";"Nederland";0,13;6,5;10,75
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Trein";"Waarde";"2022";"Nederland";0,18;8,63;14,76
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Trein";"Waarde";"2023";"Nederland";0,21;9,62;16,94
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Trein";"Waarde";"2024*";"Nederland";0,19;9,03;15,08
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Fiets";"Waarde";"2018";"Nederland";0,77;2,99;14,76
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Fiets";"Waarde";"2019";"Nederland";0,74;2,85;13,64
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Fiets";"Waarde";"2020";"Nederland";0,63;2,4;12,85
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Fiets";"Waarde";"2021";"Nederland";0,6;2,27;12,06
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Fiets";"Waarde";"2022";"Nederland";0,69;2,52;13,68
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Fiets";"Waarde";"2023";"Nederland";0,69;2,62;13,26
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Fiets";"Waarde";"2024*";"Nederland";0,71;2,72;13,52
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Totaal";"Waarde";"2018";"Nederland";2,99;46,08;82,99
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Totaal";"Waarde";"2019";"Nederland";2,84;45,45;82,41
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Totaal";"Waarde";"2020";"Nederland";2,43;30;65,74
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Totaal";"Waarde";"2021";"Nederland";2,57;32,83;72,54
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Totaal";"Waarde";"2022";"Nederland";2,72;36,51;76,4
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Totaal";"Waarde";"2023";"Nederland";2,74;38,98;78,88
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Totaal";"Waarde";"2024*";"Nederland";2,76;40,49;81,54
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Personenauto (bestuurder)";"Waarde";"2018";"Nederland";1,26;25,07;32,59
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Personenauto (bestuurder)";"Waarde";"2019";"Nederland";1,18;24,36;31,82
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Personenauto (bestuurder)";"Waarde";"2020";"Nederland";1;18,08;24,6
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Personenauto (bestuurder)";"Waarde";"2021";"Nederland";1,02;18,48;25,04
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Personenauto (bestuurder)";"Waarde";"2022";"Nederland";1,06;19,71;27,07
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Personenauto (bestuurder)";"Waarde";"2023";"Nederland";1,09;21,14;28,65
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Personenauto (bestuurder)";"Waarde";"2024*";"Nederland";1,07;21,85;29,68
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Personenauto  (passagier)";"Waarde";"2018";"Nederland";0,26;6,52;8,48
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Personenauto  (passagier)";"Waarde";"2019";"Nederland";0,24;5,95;7,95
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Personenauto  (passagier)";"Waarde";"2020";"Nederland";0,18;3,79;5,54
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Personenauto  (passagier)";"Waarde";"2021";"Nederland";0,22;5,39;7,43
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Personenauto  (passagier)";"Waarde";"2022";"Nederland";0,23;5,85;7,68
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Personenauto  (passagier)";"Waarde";"2023";"Nederland";0,24;5,76;7,83
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Personenauto  (passagier)";"Waarde";"2024*";"Nederland";0,23;5,28;7,48
